Listing cat.,Major group,Scientific name,Common name,Type of non-nativity of English population,Pathway of introduction,Pathway details,Native range (continent),Native range (area),Comments,References,Place first record outside captivity or cultivation,Date of introduction (1),Date of introduction (2),Date first wild report,Persistence in wild,Distr_NE_CN,Distr_NW_SN,Distr_Yo_EC,Distr_EM_WC,Distr_WM_BC,Distr_EE_NC,Distr_SE_SC,Distr_SW_IS,Distr_Lo,English as proportion,Habitat 1,Habitat 2,Habitat 3,Habitat 4,Current trend,Direct economic value,Economic impact,Modeofeconimpact,Conservation status,Environmental impact,Modeofenvironimpact,Population trend (20 yr),Control methods,Other info,BRC number,NBN system number,Date1,Date2,Date3,Date,Compiler,Institution
A,14,Acartia tonsa,na (calanoid),I,T,"Accidentally transported, probably on ships hulls or in ballast water",Unk,,,Brylinski (1981); Eno et al. (1997),Southampton Water,1916,1956,,P,,,,,,,SE,SW,,0,,,,,0,0,0,,0,0,,nd,0,calanoid,,NBNSYS0000178768,1916,1956,,1956,JRE,CEFAS
A,14,Ammothea hilgendorfi,na (sea spider),N,T,"Accidentally transported, probably on ships hulls or in ballast water",As,Japan,,Bamber (1985); Eno et al. (1997),Southampton Water,1978,,,P,,,,,,,SE,,,0,,,,,0,0,0,,0,0,,nd,0,sea spider,,NBNSYS0000179052,1978,,,1978,JRE,CEFAS
A,14,Balanus amphitrite,na (barnacle),I,T,"Accidentally transported, probably on ships hulls or in ballast water",Oce,Indo-Pacific,,Bishop (1947); Bishop (1950); Eno et al. (1997),Shoreham Harbour,1937,,,E,,,,,,,SE,SW,,0,,,,,G,0,0,,0,0,,nd,0,barnacle,,NBNSYS0000174078,1937,,,1937,JRE,CEFAS
A,14,Caprella mutica,Japanese skeleton shrimp,N,T,"Accidentally transported, probably on ships or in ballast water",As,,,Willis et al. (2004),"Scotland, and south coast",1990,1999,,E,,,,,,,,SW,,0,,,,,0,0,0,,0,0,,nd,0,shrimp,,,1990,1999,,1999,JRE,CEFAS
A,14,Corophium sextonae,na (amphipod),I,U,,Oce,New Zealand,,Eno et al. (1997),Plymouth,1970,1979,,P,,NW?,,,,,SE,SW,,0,,,,,nd,0,0,,0,0,,nd,0,amphipod,,NBNSYS0000174704,1970,1979,,1979,JRE,CEFAS
A,14,Elminius modestus,na (barnacle),I,T,"Accidentally transported, probably on ships hulls or in ballast water",Oce,Australia and New Zealand,,Barnes & Barnes (1960); Crisp (1958); Eno et al. (1997),Chichester Harbour,1940,1945,,E,NE,NW,Yo,,,EE,SE,SW,,0,,,,,GG,0,0,,0,0,,nd,0,barnacle,,NBNSYS0000175102,1940,1945,,1945,JRE,CEFAS
A,14,Eusarsiella zostericola,na (ostracod),I,T,Introduced with American oyster,NAm,East coast of USA,,Eno et al. (1997),Estuaries in SE England,1870,1940,,P,,,,,,EE,SE,SW,,0,,,,,0,0,0,,0,0,,nd,0,ostracod,,NBNSYS0000175296,1870,1940,,1940,JRE,CEFAS
A,14,Grandidierella japonica,,I,T,,As,,Introduced and widespread in western USA where it has been used in ecotoxicological studies,Smith et al. (1999),Southampton (VIId),1998,,1998,E,,,EC,,,,,,,0,A2,A5,,,0,0,0,,0,0,,0,0,,,,1998,,1998,1998,IL,CSL
A,14,Mytilicola intestinalis,parasitic copepod,I,T,Transferred via movement of Mytilus edulis from Mediterranean Sea to Europe as fouling organisms,Eur,Mediterranean Sea,Parasitic in mytilus edulis,Torchin et al. (2002),Not known,,,1995C,E,,,,,,,,,,,A1,,,,ND,2,N,P,0,N,P,ND,0,parasitic copepod,,NBNSYS0000184454,,,1995,1995,ML,CEFAS
A,14,Mytilicola orientalis,parasitic copepod,I,T,Transferred via movement of pacific oyster Crassostrea gigas for aquaculture purposes,As,,"Parasitic in mytilus edulis - no absolute proof that it is currently in the UK, but very likely.",Torchin et al. (2002),Not known,,,1995C,E,,,,,,,,,,,A1,,,,ND,2,N,P,0,N,P,ND,0,parasitic copepod,,NBNSYS0000184455,,,1995,1995,ML,CEFAS
